"Planning_Area","Subzone","Subzone_Lat","Subzone_Long","Hospital_Polyclinic","Hospital_Polyclinic_Lat","Hospital_Polyclinic_Long","Duration..min.","WalkTime..min.","WalkDistance..m.","Transfers","TransitTime..min.","Weekend","Peak.Hour"
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,7.65,7.65,467.24,0,0,0,0
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,7.65,7.65,467.24,0,0,0,1
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,7.65,7.65,467.24,0,0,1,0
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,7.65,7.65,467.24,0,0,1,1
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,28.77,11.92,753.09,1,13.02,0,0
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,29.47,16.83,1074.27,1,9.85,0,0
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,32.13,7.57,463.55,1,22.32,0,0
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,27.5,11.92,753.09,1,13.02,0,1
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,34.55,8.78,531.77,2,21.13,0,1
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,34.63,7.57,463.55,1,22.32,0,1
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,28.77,11.92,753.09,1,13.02,1,0
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,29.47,16.83,1074.27,1,9.85,1,0
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,32.13,7.57,463.55,1,22.32,1,0
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,27.5,11.92,753.09,1,13.02,1,1
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,34.55,8.78,531.77,2,21.13,1,1
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,34.63,7.57,463.55,1,22.32,1,1
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"INSTITUTE OF MENTAL HEALTH",1.382111,103.885799,29.83,11.63,758.73,1,15.8,0,0
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"INSTITUTE OF MENTAL HEALTH",1.382111,103.885799,31.98,11.03,705.53,0,20.95,0,0
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"INSTITUTE OF MENTAL HEALTH",1.382111,103.885799,35.08,16.58,1072.26,0,18.5,0,0
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"INSTITUTE OF MENTAL HEALTH",1.382111,103.885799,30.33,11.63,758.73,1,15.8,0,1
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"INSTITUTE OF MENTAL HEALTH",1.382111,103.885799,31.98,11.03,705.53,0,20.95,0,1
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"INSTITUTE OF MENTAL HEALTH",1.382111,103.885799,35.08,16.58,1072.26,0,18.5,0,1
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"INSTITUTE OF MENTAL HEALTH",1.382111,103.885799,29.83,11.63,758.73,1,15.8,1,0
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"INSTITUTE OF MENTAL HEALTH",1.382111,103.885799,31.98,11.03,705.53,0,20.95,1,0
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"INSTITUTE OF MENTAL HEALTH",1.382111,103.885799,35.08,16.58,1072.26,0,18.5,1,0
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"INSTITUTE OF MENTAL HEALTH",1.382111,103.885799,30.33,11.63,758.73,1,15.8,1,1
"Ang Mo Kio","Ang Mo Kio Town Centre",1.37276957853,103.846813018,"INSTITUTE OF MENTAL HEALTH",1.382111,103.885799,31.98,11.03,705.53,0,20.95,1,1
